종목코드,종목명,종가,대비,등락률,상장시가총액
5930,삼성전자,67600,-2100,-3.01,4.00E+08
660,SK하이닉스,256000,-13000,-4.83,1.86E+08
373220,LG에너지솔루션,349500,-2500,-0.71,8.18E+07
207940,삼성바이오로직스,1000000,-1000,-0.1,7.12E+07
12450,한화에어로스페이스,918000,34000,3.85,4.73E+07
329180,HD현대중공업,508000,-12000,-2.31,4.51E+07
5380,현대차,220000,0,0,4.50E+07
270,기아,106700,900,0.85,4.20E+07
105560,KB금융,107200,-1000,-0.92,4.09E+07
68270,셀트리온,169100,1500,0.89,3.91E+07
34020,두산에너빌리티,59600,-2100,-3.4,3.82E+07
42660,한화오션,115700,3700,3.3,3.55E+07
35420,NAVER,216000,1500,0.7,3.39E+07
55550,신한지주,63700,-1600,-2.45,3.09E+07
12330,현대모비스,322500,4000,1.26,2.96E+07
9540,HD한국조선해양,415500,9000,2.21,2.94E+07
32830,삼성생명,143100,0,0,2.86E+07
28260,삼성물산,166300,-1500,-0.89,2.83E+07
35720,카카오,61150,-1350,-2.16,2.70E+07
15760,한국전력,36500,150,0.41,2.34E+07
86790,하나금융지주,81200,-1000,-1.22,2.31E+07
11200,HMM,22250,150,0.68,2.28E+07
5490,POSCO홀딩스,279000,-6500,-2.28,2.26E+07
138040,메리츠금융지주,125300,-1200,-0.95,2.26E+07
64350,현대로템,192500,400,0.21,2.10E+07
810,삼성화재,453000,9000,2.03,2.08E+07
51910,LG화학,270500,-7000,-2.52,1.91E+07
402340,SK스퀘어,144400,-4600,-3.09,1.91E+07
10140,삼성중공업,20800,-500,-2.35,1.83E+07
316140,우리금융지주,24400,-400,-1.61,1.81E+07
267260,HD현대일렉트릭,487000,-5500,-1.12,1.76E+07
33780,KT&G,137500,2800,2.08,1.68E+07
10130,고려아연,816000,-5000,-0.61,1.63E+07
6400,삼성SDI,203000,-4000,-1.93,1.64E+07
259960,크래프톤,331000,3500,1.07,1.57E+07
34730,SK,206500,-500,-0.24,1.50E+07
24110,기업은행,18890,-130,-0.68,1.51E+07
96770,SK이노베이션,100100,-800,-0.79,1.51E+07
86280,현대글로비스,185600,1200,0.65,1.39E+07
30200,KT,53300,-800,-1.48,1.34E+07
3670,포스코퓨처엠,138550,-2750,-1.95,1.23E+07
9150,삼성전기,161750,1250,0.78,1.21E+07
352820,하이브,285500,-1500,-0.52,1.19E+07
66570,LG전자,72200,-1700,-2.3,1.18E+07
3550,LG,75300,800,1.07,1.18E+07
3230,삼양식품,1558000,-8000,-0.51,1.17E+07
17670,SK텔레콤,54700,500,0.92,1.17E+07
298040,효성중공업,1212000,-28000,-2.26,1.13E+07
18260,삼성에스디에스,146300,-1000,-0.68,1.13E+07
323410,카카오뱅크,23950,-700,-2.84,1.14E+07
267250,HD현대,136900,-200,-0.15,1.08E+07
6800,미래에셋증권,18860,-290,-1.51,1.08E+07
79550,LIG넥스원,491500,2000,0.41,1.08E+07
5830,DB손해보험,137700,5800,4.4,9749160
272210,한화시스템,51100,200,0.39,9653781
443060,HD현대마린솔루션,204000,-9000,-4.23,9145159
100,유한양행,112800,-700,-0.62,9020440
47810,한국항공우주,93700,-1500,-1.58,9133418
3490,대한항공,23600,-150,-0.63,8690008
150,두산,532000,-28000,-5,8790680
278470,에이피알,224000,-3000,-1.32,8384467
10120,LS ELECTRIC,274000,-10500,-3.69,8220000
47050,포스코인터내셔널,47100,-900,-1.88,8285963
10620,HD현대미포,199300,-5200,-2.54,7960470
42700,한미반도체,81700,-5300,-6.09,7787007
377300,카카오페이,58000,-1800,-3.01,7834269
21240,코웨이,104300,100,0.1,7500123
326030,SK바이오팜,97700,-900,-0.91,7651205
180640,한진칼,109700,-2100,-1.88,7323822
90430,아모레퍼시픽,118200,-2100,-1.75,6913844
71050,한국금융지주,128200,-6200,-4.61,7144072
5940,NH투자증권,19150,-280,-1.44,6823995
720,현대건설,60400,-1700,-2.74,6725888
10950,S-Oil,59400,-900,-1.49,6687418
32640,LG유플러스,14390,-460,-3.1,6185230
880,한화,84900,1100,1.31,6363997
64400,LG씨엔에스,65400,-2600,-3.82,6336341
16360,삼성증권,67800,-1000,-1.45,6054540
29780,삼성카드,50100,-400,-0.79,5804530
28050,삼성E&A,29150,50,0.17,5713400
6260,LS,175800,-1800,-1.01,5660760
34220,LG디스플레이,11680,-320,-2.67,5840000
88980,맥쿼리인프라,11590,-60,-0.52,5550706
39490,키움증권,199800,-5700,-2.77,5229879
161390,한국타이어앤테크놀로지,40150,0,0,4973584
251270,넷마블,58800,-1100,-1.84,5054066
241560,두산밥캣,52200,-1200,-2.25,5003687
